"",""
"Creation Date","5/6/2025 5:16:31 PM"
"Project","EDS Spectrum: Emae - 2025 | 18_773 | Area 3 | Full Area 1"
"Specimen",""
"Area",""
"Sampling Region",""
"kV","20"
"Live Time","20"
"Amp Time","3.84"
"Takeoff Angle","33.45"
"Resolution","129.4847"
"",""
"Element","Weight %","Error %"
"C  K","3.22","12.73"
"O  K","47.67","8.29"
"Na K","1.6","12.56"
"Mg K","3.41","7.63"
"Al K","6.59","5.92"
"Si K","18.71","4.84"
"K  K","0.84","9.25"
"Ca K","6.69","2.67"
"Ti K","0.57","10.43"
"Mn K","0.41","19.8"
"Fe K","10.28","2.53"
