"id","SiO2","TiO2","Al2O3","Fe2O3","CaO","MgO","K2O","Na2O"
"18_139",66.4118425019287,0.411557718957389,15.8459884367356,3.29326141403289,2.05683362443236,0.939689775766303,4.13983936092213,6.34881981296216
"18_424_2",66.4831534033589,0.428242491347553,16.9103652434957,3.03113496284359,2.03817753713592,0.928634601933758,4.09968572987536,6.66334025663332
"18_547",66.9894608035131,0.895416118272157,18.0251267511674,7.45868902020473,5.76006695277542,2.05626233285332,3.13198322164817,5.17161472379295
"18_554_1_1",68.3372368405436,0.394872946567224,15.8900750500334,2.91198657593936,1.76300024951345,0.912051841184941,4.26030025406244,6.35780611135276
"18_554_1_2",59.4376363420569,0.572843852062311,17.4142122526129,4.13683199331483,3.78252169935293,1.27134499074265,2.91916897710028,6.19605274032188
"18_554_1_3",70.1200093762981,0.500543171704932,16.7529130531465,3.71266373593578,2.06616166808058,0.967327710347665,4.68191338005354,5.62991594171379
"18_554_1_4",60.8210678298024,0.595090215249197,17.741712808539,5.31401805592861,5.07911976645541,2.45424859082493,2.17231143963033,5.80065561113528
"18_554_1_5",57.1913429470061,0.850923391898385,18.4533967089171,8.55485417972364,6.84678403779297,3.13414178152643,1.84706702815148,5.42772422792518
"18_565_2",71.6531937570471,0.428242491347553,16.0538253279964,1.7157367714209,1.6930399221518,1.11657255708702,5.38460192337204,4.84361483253589
"18_582",63.8874365913002,0.411557718957389,14.9264676450967,2.96917780165339,1.69770394397591,0.815319070150175,3.83266408341433,7.02054561765985
"18_773",68.6082182659783,0.56728226126559,17.8361841227485,3.53155818784135,2.27604265016551,1.0004932318453,3.60579606800007,5.83210765550239
"19_045",55.572585484541,0.645144532419691,20.4624866577718,6.63894811830364,6.85611208144119,1.29345533840773,1.9313896533497,7.44964136581122
"19_104_1",72.0953213459142,0.522789534891818,16.5135857238159,3.29802734950906,1.55311926742851,0.967327710347665,5.60946225723396,6.13314865158765
"19_104_2",69.5209978042846,0.472735217721325,16.7340187903046,2.95964593070105,1.90758492606085,0.961800123431393,4.56145248691323,6.06575141365811
"19_107",62.5610538246988,0.784184302337727,19.4107060262397,5.78584566806936,5.37761716319843,1.59747261880272,2.60195529183078,5.44569682470639
"23_039",59.5232094237731,0.661829304809855,17.6472414943296,5.41410270092817,4.88789487166692,2.16681407117877,2.13617317168824,5.89950489343193
"23_041_1",62.7607243487033,0.79530748393117,18.4848871469869,6.63418218282747,5.62014629805213,2.09495544126723,2.36504886865483,5.36482013919095
"23_053",73.2933444899412,0.600651806045919,16.5135857238159,3.04066683379592,2.25738656286907,1.01154840567784,4.64577511211145,5.38728588516746
"23_122b",70.1200093762981,0.456050445331161,16.4694991105181,2.41156335094159,2.23406645374852,0.950744949598848,4.04748600951455,6.02980622009569
"23_397",60.9993450833778,1.09563338695413,18.64863742495,9.80829520995613,7.21990578372174,3.11755902077762,2.28474160656129,5.04580654632449
"24_062",61.3273752299567,0.661829304809855,18.3589253947076,5.89069624854508,5.34496901042966,2.05073474593705,2.45740222006241,5.69282003044802
"24_093_1",69.271409649279,0.396263344266405,16.1404240326885,2.54500954427433,1.72802008583263,0.903760460810533,4.39381107729296,6.20728561331013
"24_157",74.6910381579728,0.60621339684264,15.8019018234378,3.15504928522398,2.7051326579836,0.972855297263937,4.76222064214708,5.41873792953458
