"",""
"Creation Date","6/12/2025 11:38:48 AM"
"Project","Emae - 2025"
"Specimen","24_126"
"Area","Area 1"
"Sampling Region","Full Area 1"
"kV","20"
"Live Time","20"
"Amp Time","3.84"
"Takeoff Angle","32.75"
"Resolution","129.4847"
"",""
"Element","Weight %","Error %"
"O  K","55.83","7.7"
"Na K","5.3","11.09"
"Mg K","1.24","12.06"
"Al K","8.03","6.17"
"Si K","23.77","4.9"
"K  K","1.56","11.19"
"Ca K","1.6","9.06"
"Ti K","0.34","33.63"
"Mn K","0.36","39.04"
"Fe K","1.98","9.23"
